title_pt;title_en;year;rating;genre;sinopse
Besouro Azul;1. Besouro Azul;2023;6.8 (17K);Ação;Jaime Reyes, um adolescente de origem mexicana que encontra um artefato alienígena que lhe dá um exoesqueleto mecanizado e poderes, tornando-o no Besouro Azul.
Barbie;2. Barbie;2023;7.4 (255K);Aventura;Viver na Terra da Barbie é ser um ser perfeito em um lugar perfeito. A menos que você tenha uma crise existencial completa. Ou que você seja um Ken.
Oppenheimer;3. Oppenheimer;2023;8.6 (381K);Biografia;A história do cientista americano J. Robert Oppenheimer e o seu papel no desenvolvimento da bomba atômica.
As Tartarugas Ninja: Caos Mutante;4. As Tartarugas Ninja: Caos Mutante;2023;7.5 (19K);Animação;Os irmãos Tartaruga trabalham para conquistar o amor da cidade de Nova York enquanto enfrentam um exército de mutantes.
Ruim Pra Cachorro;5. Ruim Pra Cachorro;2023;6.4 (3.2K);Animação;Um cachorro abandonado se une a outros vira-latas para se vingar de seu antigo dono.
Megatubarão 2;6. Megatubarão 2;2023;5.4 (21K);Ação;Segue um piloto de submersível e um grupo de cientistas em águas profundas para explorar uma trincheira desconhecida na Fossa das Marianas. No caminho, eles encontrarão o Megalodon, um gigante tubarão pré-histórico.
Fale Comigo;7. Fale Comigo;2022;7.4 (25K);Terror;Um grupo de amigos descobre uma mão embalsamada que lhes permite conjurar espíritos. Viciado na emoção, um deles vai longe demais e abre a porta para o mundo espiritual.
Mansão Mal-Assombrada;8. Mansão Mal-Assombrada;2023;6.2 (11K);Comédia;Uma mãe e seu filho de nove anos estão tentando começar uma nova vida. Eles aproveitam uma oportunidade imperdível, uma adorável mansão em Nova Orleans.
Missão: Impossível - Acerto de Contas Parte Um;9. Missão: Impossível - Acerto de Contas Parte Um;2023;8.0 (131K);Ação;Ethan Hunt e seu grupo do IMF embarcam na missão mais arriscada até agora: localizar uma nova arma aterrorizante que ameaça toda a humanidade antes que caia nas mãos erradas.
Som da Liberdade;10. Som da Liberdade;2023;7.8 (49K);Ação;A incrível história real de um ex-agente governamental que se transforma em um vigilante e que embarca em uma missão perigosa para resgatar centenas de crianças das mãos de traficantes sexuais.
